response,term,estimate,std.error,statistic,p.value,parameter,method
"Height, Year 1",Intercept,46.4534,1.099,42.2693,0,NA,NA
"Height, Year 1",Fence effect x DF,-3.8595,1.6902,-2.2834,0.0232,NA,NA
"Height, Year 1",Species Effect,-10.5918,1.5099,-7.0151,0,NA,NA
"Height, Year 1",Fence effect x WRC,9.8898,2.2702,4.3564,0,NA,NA
"Browse, Year 1",NA,NA,NA,27.275,0,1,Pearson's Chi-squared test with Yates' continuity correction
"Diameter, Year 1",Intercept,8.9411,0.1824,49.0232,0,NA,NA
"Diameter, Year 1",Fence effect x DF,0.2466,0.2805,0.879,0.3802,NA,NA
"Diameter, Year 1",Species Effect,-5.048,0.2506,-20.1459,0,NA,NA
"Diameter, Year 1",Fence effect x WRC,0.111,0.3768,0.2947,0.7685,NA,NA
"Browse, Year 3",NA,NA,NA,146.076,0,1,Pearson's Chi-squared test with Yates' continuity correction
"Height, Year 3",Intercept,68.3491,3.046,22.4389,0,NA,NA
"Height, Year 3",Fence effect x DF,24.8802,4.661,5.338,0,NA,NA
"Height, Year 3",Species Effect,-24.4779,4.1103,-5.9552,0,NA,NA
"Height, Year 3",Fence effect x WRC,35.3568,6.1406,5.7579,0,NA,NA
"Diameter, Year 3",Intercept,14.5911,0.5786,25.2189,0,NA,NA
"Diameter, Year 3",Fence effect x DF,0.434,0.8853,0.4902,0.6244,NA,NA
"Diameter, Year 3",Species Effect,-6.6786,0.7807,-8.5542,0,NA,NA
"Diameter, Year 3",Fence effect x WRC,6.5551,1.1664,5.62,0,NA,NA
"Deformity, Year 8",Intercept,0.5436,0.1711,3.1774,0.0015,NA,NA
"Deformity, Year 8",Fence effect x DF,-0.3238,0.2425,-1.3349,0.1819,NA,NA
"Deformity, Year 8",Species Effect,0.9678,0.3326,2.9097,0.0036,NA,NA
"Deformity, Year 8",Fence effect x WRC,-1.8928,0.3977,-4.759,0,NA,NA
"Number of Leaders, Year 8",Intercept,0.0847,0.0791,1.0719,0.2838,NA,NA
"Number of Leaders, Year 8",Fence effect x DF,-0.0349,0.1149,-0.3039,0.7612,NA,NA
"Number of Leaders, Year 8",Species Effect,0.5716,0.1118,5.1125,0,NA,NA
"Number of Leaders, Year 8",Fence effect x WRC,-0.5862,0.1526,-3.8411,1.00E-04,NA,NA
"Rotation Risk, Year 8",Intercept,-3.157,0.4168,-7.5736,0,NA,NA
"Rotation Risk, Year 8",Fence effect x DF,0.0736,0.59,0.1247,0.9008,NA,NA
"Rotation Risk, Year 8",Species Effect,4.9348,0.5207,9.4763,0,NA,NA
"Rotation Risk, Year 8",Fence effect x WRC,-7.3728,1.2039,-6.1239,0,NA,NA
"Height, Year 8",Intercept,3.8701,0.1103,35.0905,0,NA,NA
"Height, Year 8",Fence effect x DF,0.3596,0.1588,2.2644,0.0239,NA,NA
"Height, Year 8",Species Effect,-2.5418,0.1836,-13.8445,0,NA,NA
"Height, Year 8",Fence effect x WRC,0.8898,0.2321,3.8332,1.00E-04,NA,NA
"Diameter, Year 8",Intercept,45.5552,2.2422,20.3169,0,NA,NA
"Diameter, Year 8",Fence effect x DF,3.7755,3.2433,1.1641,0.2449,NA,NA
"Diameter, Year 8",Species Effect,-21.6182,5.6097,-3.8537,1.00E-04,NA,NA
"Diameter, Year 8",Fence effect x WRC,7.4582,6.3374,1.1769,0.2398,NA,NA
